affected_route,total
63,1
10 Hurdman,2
10 Lyon,3
11 Bayshore,3
11 Lincoln Fields,1
11 Parliament,4
111 Baseline 2B,12
111 Carleton,5
111 Carleton U,4
114 Rideau,1
12 Blair,4
12 Parliament,6
138 Innes,1
14 St. Laurent,3
14 St-Laurent,1
14 Tunney's Station,4
15 Blair,1
15 Gatineau,2
16 Main,1
168 Bridlewood,1
170 Barrhaven Centre,1
170 Fallowfield,2
179 Fallowfield,2
179 Fallowifeld,1
18 Parliament,3
18 St. Laurent,2
18 St-Laurent,2
19 Parliament,2
19 St. Laurent,1
19 St-Laurent,6
20 St-Laurent,1
225 Blair,1
231 Blair,4
234 Tenth Line,1
235 Blair,1
235 Gardenway,1
236 Blair,3
237 Blair,1
24 Beacon Hill,1
24 St Laurent,1
25 Blair,2
25 Carson's,1
25 La CitÃ©,4
25 Millenium,2
25 Millennium,2
251 Tunney's Pasture,2
256 Bridlewood,1
256 Tunney's Pasture,4
257 Bridlewood,4
257 Tunney's Pasture,4
258 Tunney's Pasture,1
261 Tunney's Pasture,2
262 Tunney's Pasture,3
262 West Ridge,1
266 Maxwell Bridge,1
266 Maxwell BridgeThe trip is cancelled from Tunneyâ€™s Pasture station 15,1
266 Tunney's Pasture,1
266 Tunney's Station,1
267 Glen Cairn,1
267 Tunney's Pasture,3
270 Tunney's Pasture,1
271 Stoneway,3
272 Cobble Hill,5
272 Tunney's Pasture,6
273 Tartan,3
273 Tunney's Pasture,3
275 Cambrian,2
277 Nepean Woods,4
277 Tunney's,2
277 Tunney's Pasture,6
278 Riverside South,3
278 Tunney's Pasture,5
284 Knoxdale,1
291 Hurdman,3
294 Findlay Creek,1
30 Blair,5
30 Millennium,1
32 Blair,1
33 Blair,2
35 Blair,1
39 Blair,14
39 La CitÃ©,2
39 Millennium,3
39 Parliament,1
39 Trim,2
40 Conroy,1
40 Elmvale,1
40 St. Laurent,1
40 St-Laurent,4
42 Blair,1
44 Billings Bridge,9
44 Hurdman,4
45 Hospital,2
45 Hurdman,1
46 Billings,1
46 Billings Bridge,2
46 Citigate,1
46 Hurdman,2
48 Elmvale,2
48 Hurdman,1
49 Hurdman,3
5 Billing Bridge,2
5 Rideau,1
51 Britannia,8
51 Tunneyâ€™s Pasture,3
51 Tunney's,1
51 Tunney's Pasture,4
53 Carlington,1
53 Tunneyâ€™s Pasture,2
54 Tunney's Pasture,1
55 Bayshore,6
55 Elmvale,6
56 King Edward,1
56 Tunney's Pasture,5
57 Bayshore,1
57 Bells Corners,1
57 Bell's Corners,2
57 Tunneyâ€™s Pasture,4
57 Tunney's,1
57 Tunney's Pasture,3
58 Moodie,2
6 Billings Bridge,1
6 Greenboro,10
6 Rideau,3
6 Rockcliffe,7
6 Rockliffe,4
61 Stittsville,9
61 Terry Fox,5
61 Tunney's Pasture,13
62 Stittsville & Terry Fox,1
62 Tunney's Pasture,2
63 Briarbrook,1
63 Briarbrook Innovation,1
63 Gatineau,1
63 Innovation,4
63 Kanata,1
63 Tunneyâ€™s Pasture,1
63 Tunney's Pasture,3
64 Innovation,4
64 Morgan's Grant/Innovation,1
64 Tunneyâ€™s Pasture,1
64 Tunney's Pasture,2
66 Gatineau,3
66 Kanata,3
66 Kanata-Solandt,1
66 Tunney's Pasture,2
7 Carleton,5
7 Parliament,3
7 Rideau,1
7 St Laurent,1
7 St. Laurent,1
7 St-Laurent,7
73 Leikin,2
74 Riverview,2
74 Tunneyâ€™s Pasture,2
74 Tunney's Pasture,5
75 Barrhaven,1
75 Barrhaven Centre,3
75 Baseline,3
75 Cambrian,2
75 Gatineau,1
75 Tunney's,1
75 Tunney's Pasture,7
80 Hawthorne,1
80 Tunney's Pasture,1
81 Tunney's Pasture,1
82 Bayshore,1
82 Lincoln Fields,1
82 Tunney's Pasture,1
83 Tunney's Pasture,1
84 Centrepointe,1
85 Bayshore,9
85 Gatineau,8
86 Baseline,2
86 Tunneyâ€™s Pasture,1
86 Tunney's,1
86 Tunney's Pasture,2
87 Baseline,7
87 Tunney's Pasture,6
88 Baseline,3
88 Hurdman,10
88 Terry Fox,8
89 Colonnade,1
89 Tunney's Pasture,6
9 Hurdman,2
9 Rideau,3
90 Greenboro,3
90 Hurdman,4
92 Greenboro,2
92 Hurdman,6
93 Hurdman,4
93 Leitrim,4
96 Hurdman,2
96 Merivale,2
96 Viewmount,1
97 Airport,5
97 Hurdman,6
98 Hawthorne,4
98 Hurdman,8
99 Barrhaven,1
99 Barrhaven Centre,1
99 Greenboro,1
99 Hurdman,3
